scheduler,steps,fid,lpips
Euler,20,417.755615234375,0.7823866903781891
Euler,25,465.7996520996094,0.7952711284160614
Euler,30,427.5008850097656,0.7940149009227753
DDIM,20,513.0608520507812,0.7905012667179108
DDIM,25,432.1376037597656,0.8081076443195343
DDIM,30,474.9537048339844,0.7751386165618896
DPMSolver,20,425.6313171386719,0.7977407276630402
DPMSolver,25,515.6368408203125,0.7990502119064331
DPMSolver,30,447.1266174316406,0.830280065536499
LMS,20,381.84869384765625,0.7971774935722351
LMS,25,681.895751953125,0.9079168736934662
LMS,30,452.015380859375,0.79337477684021
